entity,age-months
staging/src/k8s.io/api/testdata/HEAD/core.v1.PodStatusResult.json,0
staging/src/k8s.io/api/testdata/HEAD/core.v1.PodStatusResult.pb,0
staging/src/k8s.io/api/testdata/HEAD/core.v1.PodStatusResult.yaml,0
staging/src/k8s.io/api/testdata/HEAD/core.v1.PodTemplate.json,0
staging/src/k8s.io/api/testdata/HEAD/core.v1.PodTemplate.pb,0
staging/src/k8s.io/api/testdata/HEAD/core.v1.PodTemplate.yaml,0
staging/src/k8s.io/api/testdata/HEAD/core.v1.ReplicationController.json,0
staging/src/k8s.io/api/testdata/HEAD/core.v1.ReplicationController.pb,0
staging/src/k8s.io/api/testdata/HEAD/core.v1.ReplicationController.yaml,0
staging/src/k8s.io/api/testdata/HEAD/extensions.v1beta1.DaemonSet.json,0
staging/src/k8s.io/api/testdata/HEAD/extensions.v1beta1.DaemonSet.pb,0
staging/src/k8s.io/api/testdata/HEAD/extensions.v1beta1.DaemonSet.yaml,0
staging/src/k8s.io/api/testdata/HEAD/extensions.v1beta1.Deployment.json,0
staging/src/k8s.io/api/testdata/HEAD/extensions.v1beta1.Deployment.pb,0
staging/src/k8s.io/api/testdata/HEAD/extensions.v1beta1.Deployment.yaml,0
staging/src/k8s.io/api/testdata/HEAD/extensions.v1beta1.ReplicaSet.json,0
staging/src/k8s.io/api/testdata/HEAD/extensions.v1beta1.ReplicaSet.pb,0
staging/src/k8s.io/api/testdata/HEAD/extensions.v1beta1.ReplicaSet.yaml,0
pkg/apis/core/v1/zz_generated.conversion.go,0
pkg/apis/core/zz_generated.deepcopy.go,0
staging/src/k8s.io/api/core/v1/generated.pb.go,0
staging/src/k8s.io/api/core/v1/generated.proto,0
staging/src/k8s.io/api/core/v1/types_swagger_doc_generated.go,0
staging/src/k8s.io/api/core/v1/zz_generated.deepcopy.go,0
staging/src/k8s.io/client-go/applyconfigurations/core/v1/containerstatus.go,0
staging/src/k8s.io/client-go/applyconfigurations/core/v1/lifecycle.go,0
staging/src/k8s.io/cri-api/pkg/apis/runtime/v1/api.pb.go,0
pkg/util/pod/pod_test.go,0
test/e2e/common/node/lifecycle_hook.go,0
test/e2e/feature/feature.go,0
pkg/kubelet/kubelet_pods.go,0
pkg/kubelet/kuberuntime/helpers.go,0
pkg/kubelet/kuberuntime/kuberuntime_container.go,0
pkg/kubelet/kuberuntime/kuberuntime_container_linux_test.go,0
staging/src/k8s.io/cri-api/pkg/apis/runtime/v1/api.proto,0
pkg/api/pod/testing/make.go,0
pkg/api/pod/util.go,0
pkg/api/pod/util_test.go,0
pkg/apis/core/validation/validation.go,0
pkg/apis/core/validation/validation_test.go,0
pkg/apis/core/types.go,0
pkg/features/kube_features.go,0
pkg/kubelet/container/runtime.go,0
staging/src/k8s.io/api/core/v1/types.go,0
test/compatibility_lifecycle/reference/versioned_feature_list.yaml,0
cmd/kubeadm/app/util/apiclient/wait.go,0
cmd/kubeadm/app/cmd/phases/join/waitcontrolplane.go,0
cmd/kubeadm/app/util/apiclient/wait_test.go,0
test/e2e_node/container_metrics_test.go,0
cluster/gce/gci/configure-helper.sh,0
test/e2e/autoscaling/horizontal_pod_autoscaling_behavior.go,0
test/e2e/framework/autoscaling/autoscaling_utils.go,0
pkg/apis/autoscaling/v2/zz_generated.conversion.go,0
pkg/apis/autoscaling/zz_generated.deepcopy.go,0
staging/src/k8s.io/api/autoscaling/v2/generated.pb.go,0
staging/src/k8s.io/api/autoscaling/v2/generated.proto,0
staging/src/k8s.io/api/autoscaling/v2/types_swagger_doc_generated.go,0
staging/src/k8s.io/api/autoscaling/v2/zz_generated.deepcopy.go,0
staging/src/k8s.io/client-go/applyconfigurations/autoscaling/v2/hpascalingrules.go,0
pkg/apis/autoscaling/types.go,0
pkg/apis/autoscaling/validation/validation.go,0
pkg/apis/autoscaling/validation/validation_test.go,0
pkg/registry/autoscaling/horizontalpodautoscaler/strategy.go,0
pkg/registry/autoscaling/horizontalpodautoscaler/strategy_test.go,0
staging/src/k8s.io/api/autoscaling/v2/types.go,0
pkg/controller/podautoscaler/horizontal.go,0
pkg/controller/podautoscaler/horizontal_test.go,0
pkg/controller/podautoscaler/replica_calculator.go,0
pkg/controller/podautoscaler/replica_calculator_test.go,0
staging/src/k8s.io/api/testdata/HEAD/autoscaling.v2.HorizontalPodAutoscaler.json,0
staging/src/k8s.io/api/testdata/HEAD/autoscaling.v2.HorizontalPodAutoscaler.pb,0
staging/src/k8s.io/api/testdata/HEAD/autoscaling.v2.HorizontalPodAutoscaler.yaml,0
pkg/apis/autoscaling/annotations.go,0
pkg/apis/autoscaling/helpers.go,0
pkg/apis/autoscaling/v2/defaults.go,0
pkg/apis/autoscaling/v2/defaults_test.go,0
pkg/apis/autoscaling/v2beta2/conversion.go,0
pkg/apis/autoscaling/v2beta2/conversion_test.go,0
pkg/apis/autoscaling/v2beta2/zz_generated.conversion.go,0
test/e2e_node/eviction_test.go,0
test/e2e_node/separate_disk_test.go,0
pkg/kubelet/server/stats/summary_test.go,0
pkg/kubelet/stats/cadvisor_stats_provider_test.go,0
pkg/kubelet/stats/cri_stats_provider_test.go,0
pkg/kubelet/stats/helper_test.go,0
